Company Name,Company Location,Ratting,Reviews,Company Type,Reason For Review
BT E Serv,Kolkata +6 other locations,4.0,(566),Telecom,"Work Life Balance, Company Culture, Job Security"
AVEVA,Hyderabad / Secunderabad +14 other locations,4.1,(565),Software Product,"Work Life Balance, Company Culture, Work Satisfaction"
Maxicus,Vadodara +13 other locations,4.1,(565),BPO,"Company Culture, Work Life Balance, Work Satisfaction"
Monte Carlo,Ahmedabad +98 other locations,4.2,(564),Fashion & Textile,"Company Culture, Salary & Benefits, Work Life Balance"
Blackberrys,Gurgaon / Gurugram +88 other locations,3.8,(564),Fashion & Textile,"Job Security, Promotions / Appraisal"
Global Healthcare Billing Partners,Chennai +15 other locations,3.4,(565),Analytics & KPO,"Company Culture, Promotions / Appraisal, Work Satisfaction"
Serum Institute of India,Pune +23 other locations,4.2,(563),Biotechnology,"Job Security, Salary & Benefits, Work Life Balance"
Medcode,Chennai +10 other locations,4.2,(563),IT Services & Consulting,"Skill Development / Learning, Company Culture, Work Satisfaction"
VDA Infosolutions,Pune +36 other locations,4.0,(562),IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
TDS Lithium-Ion Battery,Ahmedabad +18 other locations,4.2,(562),Electrical Equipment,"Company Culture, Work Life Balance, Skill Development / Learning"
United Colors of Benetton,Gurgaon / Gurugram +71 other locations,4.4,(561),Fashion & Textile,"Company Culture, Skill Development / Learning, Work Life Balance"
Ofbusiness,Gurgaon / Gurugram +39 other locations,3.0,(561),Internet,"Job Security, Company Culture, Work Life Balance"
SoftAge Information Technology,Gurgaon / Gurugram +129 other locations,3.6,(560),IT Services & Consulting,"Promotions / Appraisal, Job Security, Work Satisfaction"
CSG International,Bangalore / Bengaluru +13 other locations,3.7,(560),IT Services & Consulting,Work Life Balance
TSYS|Total System Services,Pune +10 other locations,4.1,(560),Financial Services,"Work Life Balance, Company Culture, Salary & Benefits"
WayCool Foods and Products,Chennai +43 other locations,3.5,(559),FMCG,"Job Security, Promotions / Appraisal, Company Culture"
SOLAR INDUSTRIES INDIA,Nagpur +39 other locations,3.7,(559),Defence & Aerospace,Job Security
Aster Dm Healthcare,Bangalore / Bengaluru +39 other locations,3.6,(559),Healthcare,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Cashify,Gurgaon / Gurugram +55 other locations,3.7,(559),Other,"Job Security, Promotions / Appraisal"
IRB Infrastructure,Mumbai +64 other locations,3.9,(558),Engineering & Construction,"Work Life Balance, Salary & Benefits"
Samunnati,Chennai +54 other locations,4.4,(557),Financial Services,"Work Life Balance, Company Culture, Work Satisfaction"
Inspira Enterprise India Limited,Mumbai +35 other locations,3.6,(557),IT Services & Consulting,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Amway India Enterprises,Gurgaon / Gurugram +80 other locations,4.0,(556),Fitness & Wellness,"Company Culture, Work Life Balance, Skill Development / Learning"
EdgeVerve Systems,Bangalore / Bengaluru +14 other locations,3.3,(556),Software Product,Job Security
IDP Education Limited,Chennai +48 other locations,3.6,(556),EdTech,Work Life Balance
HBL Power Systems,Hyderabad / Secunderabad +51 other locations,4.1,(555),Electrical Equipment,Work Life Balance
Hpl Electric & Power,Gurgaon / Gurugram +64 other locations,3.7,(555),Electrical Equipment,"Promotions / Appraisal, Company Culture, Work Satisfaction"
DealShare,Bangalore / Bengaluru +43 other locations,3.5,(555),Internet,"Job Security, Company Culture, Work Satisfaction"
Schwing Stetter,Chennai +44 other locations,3.9,(555),Industrial Machinery,Job Security
DHL Global Forwarding,Chennai +21 other locations,3.9,(554),Logistics,"Work Life Balance, Job Security, Company Culture"
Matrimonialsindia,New Delhi,4.9,(553),Internet,"Company Culture, Work Life Balance, Work Satisfaction"
Hamilton Housewares,Mumbai +45 other locations,3.9,(553),Consumer Electronics & Appliances,"Work Life Balance, Job Security, Salary & Benefits"
Toothsi,Mumbai +17 other locations,2.8,(553),Internet,"Job Security, Promotions / Appraisal, Company Culture"
Jindal Poly Films,Nashik +17 other locations,3.6,(554),Packaging,"Promotions / Appraisal, Company Culture, Job Security"
Hilton,Bangalore / Bengaluru +39 other locations,4.2,(553),Hospitality,"Job Security, Skill Development / Learning, Company Culture"
Army Public School,New Delhi +93 other locations,4.0,(553),Education & Training,"Skill Development / Learning, Salary & Benefits"
Vadilal Industries,Ahmedabad +84 other locations,4.0,(553),FMCG,"Work Life Balance, Job Security, Company Culture"
United Spirits,Bangalore / Bengaluru +97 other locations,4.1,(552),Beverage,"Skill Development / Learning, Company Culture, Work Life Balance"
IKEA,Bangalore / Bengaluru +23 other locations,3.9,(553),Retail,"Work Life Balance, Company Culture, Salary & Benefits"
HLL Lifecare,Thiruvananthapuram +110 other locations,3.7,(553),Healthcare,"Promotions / Appraisal, Salary & Benefits, Job Security"
United Spirits,Bangalore / Bengaluru +97 other locations,4.1,(552),Beverage,"Skill Development / Learning, Company Culture, Work Life Balance"
Jayaswal Neco Industries,Raipur +30 other locations,4.1,(552),Iron & Steel,"Job Security, Work Life Balance, Skill Development / Learning"
BEML,Bangalore / Bengaluru +36 other locations,3.9,(553),Industrial Machinery,Job Security
Vedanta Limited,Jharsuguda +51 other locations,3.8,(551),Metals & Mining,Salary & Benefits
Dishman Carbogen Amcis,,3.6,(551),Ahmedabad +14 other locations,Work Life Balance
